Date,Open,High,Low,Close,Adj Close,Volume
2019-09-12,57.090000,58.470001,56.980000,58.340000,55.752903,9506954
2019-09-13,58.200001,58.500000,57.450001,57.669998,55.112614,6020005
2019-09-17,57.660000,57.849998,56.459999,56.730000,54.214298,23267891
2019-09-18,56.799999,56.889999,55.419998,55.500000,53.038845,14528768
2019-09-19,55.639999,55.840000,55.119999,55.189999,52.742592,12230842
2019-09-20,55.320000,55.619999,54.740002,55.009998,52.570568,61035513
2019-09-23,55.090000,55.480000,54.919998,55.160000,52.713924,9538878
2019-09-24,55.230000,55.730000,55.099998,55.189999,52.742592,21609627
2019-09-25,55.020000,55.889999,54.209999,55.700001,53.229980,15245864
2019-09-26,55.810001,57.070000,55.560001,56.939999,54.414982,20405751
2019-09-27,57.040001,58.610001,56.700001,58.349998,55.762455,20482856
2019-09-30,58.410000,58.990002,58.340000,58.480000,55.886696,18572434
2019-10-01,58.490002,59.139999,58.250000,58.480000,55.886696,10617002
2019-10-02,58.180000,58.189999,57.099998,57.400002,54.854584,9050507
2019-10-03,57.400002,58.310001,57.110001,58.189999,55.609550,7742301
2019-10-04,58.080002,59.049999,57.959999,58.919998,56.307178,8432253
2019-10-07,58.799999,58.889999,57.750000,57.880001,55.313301,14587846
2019-10-08,57.750000,57.900002,55.500000,55.619999,53.153515,38356358
2019-10-09,55.889999,56.090000,55.020000,55.349998,52.895489,26901284
2019-10-10,55.369999,55.540001,55.130001,55.369999,52.914608,19411401
2019-10-11,55.560001,55.959999,54.439999,55.139999,52.694801,31213809
2019-10-14,55.009998,55.939999,55.009998,55.869999,53.392437,7591197
2019-10-15,55.860001,56.500000,55.570000,55.980000,53.497555,16199464
2019-10-16,56.110001,56.700001,55.680000,56.570000,54.061394,18313098
2019-10-17,56.520000,57.060001,56.090000,56.910000,54.386314,15747588
2019-10-18,56.740002,57.060001,56.410000,56.560001,54.051838,12091826
2019-10-21,56.520000,57.040001,56.400002,56.709999,54.195190,11564002
2019-10-22,56.840000,57.049999,56.450001,56.669998,54.156956,11730909
2019-10-23,56.900002,57.189999,56.520000,57.130001,54.596561,11468114
2019-10-24,57.180000,58.799999,57.000000,58.700001,56.096935,17183526
2019-10-25,58.470001,58.910000,57.930000,58.290001,55.705120,4206416
2019-10-28,58.320000,58.820000,58.020000,58.439999,55.848469,10527983
2019-10-29,58.330002,58.720001,58.029999,58.630001,56.030045,12057800
2019-10-30,58.790001,58.889999,58.200001,58.580002,55.982265,9686905
2019-10-31,58.700001,58.730000,57.619999,57.730000,55.169956,18494405
2019-11-01,57.799999,59.189999,57.799999,59.040001,56.421867,11834157
2019-11-04,59.150002,59.240002,57.220001,57.389999,54.845032,25821698
2019-11-05,57.450001,57.630001,55.980000,56.439999,53.937157,27892522
2019-11-06,56.439999,57.540001,56.220001,57.459999,54.911922,20740018
2019-11-07,57.349998,57.349998,56.160000,56.570000,54.061394,20535494
2019-11-08,56.520000,56.790001,56.070000,56.189999,53.698242,10308005
2019-11-11,56.110001,56.189999,54.820000,54.950001,52.513233,19525551
2019-11-12,55.000000,55.119999,54.060001,54.119999,51.720039,29535587
2019-11-13,54.009998,54.959999,54.000000,54.160000,51.758263,12112512
2019-11-14,54.369999,55.270000,54.110001,55.200001,52.752148,15954811
2019-11-15,55.250000,55.250000,54.250000,54.669998,52.245644,10270463
2019-11-19,54.590000,55.340000,54.500000,54.930000,52.494122,11432601
2019-11-20,55.000000,55.299999,54.410000,54.540001,52.121414,11710523
2019-11-21,54.689999,54.689999,53.509998,53.650002,51.270882,15024256
2019-11-22,53.599998,55.139999,53.549999,55.029999,52.589687,13413054
2019-11-25,54.740002,55.160000,54.400002,55.000000,52.810532,8403379
2019-11-26,54.820000,55.139999,53.560001,53.669998,51.533474,41628195
2019-11-27,53.599998,54.299999,53.549999,54.250000,52.090385,6565245
2019-11-28,54.400002,54.400002,54.009998,54.290001,52.128792,1036302
2019-11-29,54.419998,54.580002,53.709999,54.480000,52.311230,8435914
2019-12-02,54.369999,54.599998,53.869999,54.189999,52.032772,12542016
2019-12-03,54.169998,54.889999,53.930000,54.349998,52.186405,13119192
2019-12-04,54.810001,54.810001,53.709999,53.900002,51.754314,10505913
